Vzorek,Plesne,Certovo,horizont,znaceni,cas,ID,CPcr,Dwpuvodni,DWovlhceni,pH,DOC,TN,DOC2,TN2,Cmic,Nmic,Pmic,CCO2,CCO2c,deltaCO2,CO2atm,CCO2.s,CCO2.g,CCO2.g2,Gl,Glcorrected,DOCatm,Cmicatm,Cmicg,CUE,Cmicg2,DOCg,DOCg2,Glfound,NH4,NO3,PO4,DOP,DON,NH42,NO32,DON2,PO42,BG,CELL,PH,ALA,CHIT,PHO,PER,bg,cell,phos,ala,chit,Sorption
66,1,0.0,A,JO,1,16,73.831684227,0.298994975,0.269364842,2.730000000,18.096352857,0.542821352,40.809446418,3.577811450,93.818010539,12.089666277,6.705166602,41.395052978,71.095993888,2780.677157178,0.040679778,47.375886419,23.720107468,19.055822643,124.476953387,89.554944114,0.011471522,0.018265317,13.415646909,0.361259577,10.777615088,0.528461262,0.424545466,30.257983197,0.067306138,0.139911972,0.009817520,,0.335603243,0.295193061,0.237426376,3.045192012,0.238586307,0.065859503,0.013912015,0.010992410,0.017263095,0.001614756,0.361020878,0.657052638,0.955054626,0.200169058,0.879617372,0.000000000,0.159945316,0.692651868
67,0.75,0.3,A,JO,1,17,69.834367248,0.325556715,0.293294338,2.692500000,21.017384147,0.658667473,38.460478088,3.035723305,83.948820586,11.187977489,5.749709476,35.257623786,60.551404175,2858.404720347,0.041492165,39.799013942,20.752390233,18.152729806,114.321044022,81.680956941,0.011579110,0.018741285,12.769908228,0.380937728,11.170216593,0.581764053,0.508886231,29.831832630,0.078120177,0.194935395,0.011669735,,0.385611901,0.245311957,0.270135191,2.520276157,0.185976110,0.071214368,0.014187150,0.010657781,0.022333193,0.001622850,0.266863926,0.989353125,0.955681010,0.205838987,0.827031644,0.030170199,0.175514493,0.670754057
68,0.5,0.5,A,JO,1,18,65.837050269,0.352118455,0.317223833,2.655000000,20.017280222,0.817787991,38.962832960,3.664452974,74.792267453,8.649269605,6.044674937,35.639903066,61.204800317,2829.602235791,0.041182414,40.437683266,20.767117051,19.647719938,105.697338503,74.994904101,0.011424397,0.018330341,10.785649761,0.341828969,10.204277529,0.472347133,0.446886497,30.298883963,0.065252034,0.204981389,0.007959756,,0.547554568,0.291609090,0.297459272,3.075384612,0.141303119,0.046316520,0.010865452,0.008438559,0.022543712,0.001382812,0.213668279,0.809674339,0.566250716,0.124447683,0.533228006,0.000000000,0.091744547,0.486812452
69,0.25,0.8,A,JO,1,19,61.839733290,0.378680195,0.341153329,2.617500000,18.486295097,0.710421319,38.316337497,3.212420384,60.699825252,8.296164380,2.939399409,27.690957085,47.550873299,2816.642681380,0.041072319,31.473923823,16.076949476,16.357743723,98.283417007,69.246809995,0.011495327,0.018566535,9.034599000,0.359778650,9.192394073,0.515078573,0.524074751,26.074212546,0.067997917,0.202110733,0.006038511,,0.440312669,0.224288515,0.345638645,2.642493224,0.136140801,0.030635924,0.006851130,0.007862556,0.022910322,0.001338032,0.152597735,0.980046296,0.362294749,0.070413966,0.496237301,0.012663666,0.101552902,0.670754057
70,0.00,1.0,A,JO,1,20,57.842416311,0.405241935,0.365082825,2.580000000,19.498273031,1.051945156,36.242103009,3.129333998,48.176591000,5.927883495,2.840899634,22.460774132,38.567082883,2652.413805582,0.039391909,26.250211000,12.316871883,13.411024792,91.841392243,64.252238013,0.012848543,0.019471821,8.007111529,0.393973532,8.718412617,1.429572358,1.556566514,23.686003923,0.146046470,0.406662192,0.006482931,,0.499236494,0.218189907,0.378117635,2.533026457,0.105028318,0.014813629,0.005748399,0.008483929,0.020580684,0.001044178,0.102439017,1.057809979,0.276104747,0.035966580,0.469284052,0.000000000,0.051080048,0.631337999
71,1.00,0.0,A,JO,1,16,73.831684227,0.521870287,0.470153411,2.850000000,8.905095510,0.151438109,23.845772347,1.959958309,67.069666051,7.745129383,3.276739663,20.408823655,35.035119584,2577.751346204,0.038590889,24.155721187,10.879398397,15.255084283,71.316540734,51.308685231,0.011431193,0.018343462,9.694311884,0.471199008,13.593356862,0.293904117,0.412112133,29.260553279,0.023987189,0.078641544,0.007554607,,0.048809375,0.160926712,0.153032194,1.645999402,0.122908990,0.062345313,0.013080268,0.010153467,0.025408136,0.001144644,0.075647996,0.755915834,0.513685356,0.104499873,0.448020404,0.000000000,0.065201666,0.626958437
72,0.75,0.3,A,JO,1,17,69.834367248,0.492713199,0.443885765,2.767500000,12.052556747,0.498244081,25.417042248,2.102956648,52.250622258,5.815876038,2.912608019,20.991339552,36.037371279,2626.883772004,0.039105692,24.639045589,11.398325689,15.089763001,75.536810543,53.970106923,0.011756322,0.020050956,9.263193386,0.448330704,12.263151329,0.466759928,0.617923797,27.970838127,0.026853885,0.100983470,0.006743220,,0.370406726,0.151796809,0.180097909,1.771061930,0.115582438,0.087788077,0.015131444,0.012723141,0.021421971,0.001689150,0.067630586,0.855296037,0.812426783,0.146947469,0.667888289,0.013585307,0.086723096,0.749586174
73,0.50,0.5,A,JO,1,18,65.837050269,0.463556111,0.417618118,2.685000000,12.437809959,0.387039115,27.485186352,2.233862609,44.974697527,5.485717567,2.867132723,21.494575135,36.903591067,2499.449962357,0.037786817,25.774757603,11.128833464,13.861145255,80.287979523,56.966328671,0.011806103,0.020076858,7.992027324,0.417974244,9.954201577,0.540108590,0.672714138,24.488060970,0.021877239,0.034866849,0.006981797,,0.330295027,0.162370130,0.166472112,1.905020367,0.091816024,0.050210126,0.008474929,0.008887785,0.024984391,0.001314855,0.075810690,0.717054745,0.472709739,0.073846691,0.424360198,0.000000000,0.064934397,0.771483984
74,0.25,0.8,A,JO,1,19,61.839733290,0.434399023,0.391350471,2.602500000,16.095974889,0.486884477,31.006548445,2.672703047,45.510182492,5.149174962,2.672066057,24.290320068,41.706337860,2552.612804425,0.038332903,28.876670312,12.829667547,14.974468038,85.676950356,60.364766335,0.011716325,0.019345817,7.447981791,0.367300059,8.693098622,0.554731029,0.647468224,24.315034885,0.030641166,0.093382601,0.007681439,,0.362860711,0.180199237,0.194790268,2.297713542,0.114538554,0.027968024,0.005996304,0.006373961,0.021892473,0.000929109,0.081515269,0.659269441,0.277509060,0.047522088,0.306978477,0.000000000,0.050927730,0.740827050
75,0.00,1.0,A,JO,1,20,57.842416311,0.405241935,0.365082825,2.520000000,17.133201138,0.592690594,33.255962044,2.730492233,42.460779839,4.732922284,2.079273011,24.490023769,42.051712193,2564.400237126,0.038464503,29.056957697,12.994754495,14.149126203,91.841392243,64.252238013,0.013088989,0.018546743,6.300404241,0.326527723,6.860092260,1.466119009,1.596359738,22.605578202,0.058848711,0.154257918,0.008667492,,0.379583965,0.160709770,0.222100120,2.347682342,0.082839237,0.015255703,0.006359921,0.009236971,0.020142879,0.001207308,0.089559840,0.709741898,0.330768832,0.056444114,0.577709246,0.000000000,0.082188375,0.745206612
76,1,0.0,A,JO,1,16,73.831684227,0.345600000,0.311351351,2.730000000,17.712532670,0.580577985,42.676055953,3.605188692,139.419708037,16.735318027,11.448007421,41.770713408,69.261329154,2086.641528363,0.033437228,51.128278509,18.133050645,16.838048989,107.690924625,77.478235721,0.011485440,0.016521209,15.295196324,0.457553049,14.202864705,0.567479698,0.526952202,31.567865896,0.079091571,0.115083968,0.010515889,,0.386402446,0.251717523,0.275101118,3.078370051,0.315689471,0.035301935,0.008400639,0.009838481,0.027374381,0.001321393,0.061646338,0.305133937,0.419450416,0.092253248,0.602768923,0.000000000,0.127163449,0.508710262
77,0.75,0.3,A,JO,1,17,69.834367248,0.350407349,0.315682296,2.690000000,20.790250657,0.702849773,42.157706011,3.434535279,78.142858810,9.635723321,7.304296904,40.210875685,66.674178088,2196.226997649,0.034586955,48.329700493,18.344477596,17.271327330,106.213478821,75.888202949,0.011558100,0.018165635,11.037598615,0.375657545,10.391900103,0.616610816,0.580539139,28.243766572,0.074841009,0.085694085,0.010095451,,0.542314680,0.263639323,0.239672112,2.931223844,0.203580510,0.050500148,0.009595080,0.011229174,0.020409407,0.001346904,0.117349223,0.719346455,0.665871750,0.116075313,0.811765581,0.001019966,0.137040887,0.661994933
78,0.5,0.5,A,JO,1,18,65.837050269,0.355214698,0.320013242,2.650000000,20.602550881,0.676163134,41.526203687,3.376455125,70.926559756,8.562279526,5.509278976,37.808015312,62.689209289,2311.400651635,0.035794791,44.562548637,18.126660652,17.300389967,104.776023466,74.341208050,0.011610957,0.018603398,10.607869148,0.369168009,10.124328828,0.653245871,0.623468852,28.048187647,0.094794436,0.109069363,0.027646580,,0.472299336,0.311817932,0.119998603,2.944638590,0.170448384,0.036691430,0.007564028,0.008600177,0.022024557,0.001133895,0.097652200,0.862669887,0.480537700,0.073039692,0.563503655,0.012096858,0.075796344,0.740827050
79,0.25,0.8,A,JO,1,19,61.839733290,0.360022047,0.324344187,2.610000000,23.710947275,0.760442960,40.510939909,3.157956433,61.374557065,6.957651461,6.439333076,33.993398054,56.363421114,2363.370708720,0.036346299,39.705790454,16.657630660,16.113485257,103.376956592,72.835526979,0.011775585,0.019371343,10.074522859,0.376869108,9.745424117,0.775365559,0.750037130,26.608946504,0.071301843,0.132480585,0.008461972,,0.556660532,0.228870114,0.212585125,2.716501194,0.168172399,0.053827962,0.009736233,0.010659255,0.024276144,0.001558921,0.137608522,1.293044227,0.694304656,0.118498001,0.756446034,0.000752182,0.111117967,0.429878145
80,0,1.0,A,JO,1,20,57.842416311,0.364829396,0.328675132,2.570000000,22.098915191,0.807537697,41.969046638,3.210160509,44.184946639,5.781870011,3.066762572,30.198501865,50.070458258,2549.003999304,0.038291388,34.147915943,15.922542315,15.608076920,102.014760666,71.369526562,0.012079119,0.020462915,8.179222751,0.339361982,8.017685575,1.045803755,1.025149448,24.650911943,0.082958021,0.139204427,0.006248116,,0.585375248,0.242793370,0.254086084,2.713281055,0.111733018,0.024309017,0.010945588,0.010702968,0.020974863,0.001082927,0.132640631,1.487438573,0.631463526,0.130833093,0.781105583,0.000000000,0.075640043,0.609440189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
